".id","syn_name","acc_name","Mig_bi"
"Artibeus jamaicensis aequatorialis","Artibeus jamaicensis aequatorialis","Artibeus aequatorialis",1
"Aeorestes cinereus","Lasiurus cinereus",NA,1
"Dasypterus ega","Lasiurus ega",NA,1
"Hsunycteris thomasi","Lonchophylla thomasi",NA,1
"Aeorestes cinereus","Lasiurus cinereus",NA,1
"Dasypterus ega","Lasiurus ega",NA,1
"Hsunycteris thomasi","Lonchophylla thomasi",NA,1
"Micaelamys namaquensis","Aethomys namaquensis",NA,0
"Gardnerycteris crenulatum","Mimon crenulatum",NA,1
"Cynomops planirostris","Molossops planirostris",NA,1
"Otospermophilus beecheyi","Spermophilus beecheyi",NA,0
"Urocitellus beldingi","Spermophilus beldingi",NA,0
"Urocitellus columbianus","Spermophilus columbianus",NA,0
"Urocitellus elegans","Spermophilus elegans",NA,0
"Xerospermophilus mohavensis","Spermophilus mohavensis",NA,0
"Urocitellus mollis","Spermophilus mollis",NA,0
"Xerospermophilus tereticaudus","Spermophilus tereticaudus",NA,0
"Ictidomys tridecemlineatus","Spermophilus tridecemlineatus",NA,0
"Otospermophilus variegatus","Spermophilus variegatus",NA,0
"Vulpes lagopus","Alopex lagopus",NA,0
